capex_intensity_class,company_count,average_capex_intensity_pct,median_capex_intensity_pct,average_fcf_conversion_pct,percentage_of_companies
High,18,15.060772948215158,14.794366622693992,-67.29770152160468,19.57
Low,31,2.3499178808526864,2.3480024906099985,6.9471524612208855,33.7
Moderate,25,7.273703058090843,7.112326893486067,6.5599889623681475,27.17
Very High,18,49.27426078948284,28.91733527100959,-45.66525889865308,19.57
