company_id,previous_year,current_year,previous_pattern,current_pattern
ABB,2014.0,2015,Cash Accumulator,Growth Funded by Debt
ABB,2015.0,2016,Growth Funded by Debt,Reinvestor
ABB,2017.0,2018,Reinvestor,Mixed
ABB,2020.0,2021,Mixed,Reinvestor
ABB,2022.0,2023,Reinvestor,Mixed
ABB,2023.0,2024,Mixed,Reinvestor
ADANIENSOL,2014.0,2015,Cash Accumulator,Growth Funded by Debt
ADANIENSOL,2015.0,2016,Growth Funded by Debt,Reinvestor
ADANIENSOL,2017.0,2018,Reinvestor,Mixed
ADANIENSOL,2020.0,2021,Mixed,Reinvestor
ADANIENSOL,2022.0,2023,Reinvestor,Mixed
ADANIENSOL,2023.0,2024,Mixed,Reinvestor
ADANIENT,2013.0,2014,Mixed,Reinvestor
ADANIENT,2014.0,2015,Reinvestor,Mixed
ADANIENT,2015.0,2016,Mixed,Reinvestor
ADANIENT,2016.0,2017,Reinvestor,Mixed
ADANIENT,2018.0,2019,Mixed,Liquidating Assets
ADANIENT,2019.0,2020,Liquidating Assets,Reinvestor
ADANIENT,2020.0,2021,Reinvestor,Mixed
ADANIENT,2022.0,2023,Mixed,Reinvestor
ADANIENT,2023.0,2024,Reinvestor,Mixed
ADANIGREEN,2022.0,2023,Mixed,Reinvestor
ADANIGREEN,2023.0,2024,Reinvestor,Mixed
ADANIPORTS,2014.0,2015,Mixed,Reinvestor
ADANIPORTS,2015.0,2016,Reinvestor,Mixed
ADANIPORTS,2016.0,2017,Mixed,Reinvestor
ADANIPORTS,2018.0,2019,Reinvestor,Mixed
ADANIPORTS,2019.0,2020,Mixed,Reinvestor
ADANIPORTS,2020.0,2021,Reinvestor,Mixed
ADANIPORTS,2021.0,2022,Mixed,Reinvestor
ADANIPOWER,2014.0,2015,Mixed,Reinvestor
ADANIPOWER,2021.0,2022,Reinvestor,Liquidating Assets
APOLLOHOSP,2013.0,2014,Mixed,Reinvestor
APOLLOHOSP,2014.0,2015,Reinvestor,Mixed
APOLLOHOSP,2017.0,2018,Mixed,Reinvestor
ATGL,2018.0,2019,Mixed,Liquidating Assets
ATGL,2019.0,2020,Liquidating Assets,Reinvestor
ATGL,2020.0,2021,Reinvestor,Mixed
ATGL,2023.0,2024,Mixed,Reinvestor
AXISBANK,2014.0,2015,Mixed,Growth Funded by Debt
AXISBANK,2015.0,2016,Growth Funded by Debt,Distress Signal
AXISBANK,2016.0,2017,Distress Signal,Reinvestor
AXISBANK,2017.0,2018,Reinvestor,Growth Funded by Debt
AXISBANK,2018.0,2019,Growth Funded by Debt,Mixed
AXISBANK,2023.0,2024,Mixed,Growth Funded by Debt
BAJAJ-AUTO,2019.0,2020,Reinvestor,Liquidating Assets
BAJAJ-AUTO,2020.0,2021,Liquidating Assets,Reinvestor
BAJAJ-AUTO,2021.0,2022,Reinvestor,Liquidating Assets
BAJAJ-AUTO,2023.0,2024,Liquidating Assets,Reinvestor
BAJAJFINSV,2015.0,2016,Distress Signal,Growth Funded by Debt
