company_id,company_name,sector,cfo_pat_ratio,fcf,fcf_conversion_pct,capex_intensity_pct,cfo_quality,capex_intensity_class,fcf_status,cash_flow_risk,cash_flow_score
POWERGRID,Power Grid Corporation of India Ltd,Energy,2.394528992486997,24176.0,60.70406267262592,28.606330301245553,Strong,Very High,Positive,True,82.11
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Industrials,1.8531589338598222,8250.0,52.92193213163128,25.337875781513237,Strong,Very High,Positive,True,80.94
BHARTIARTL,Bharti Airtel Ltd,Communication Services,9.219210095816779,27809.0,35.51959331732489,34.063420943846594,Strong,Very High,Positive,True,78.33
NHPC,NHPC Ltd,Energy,1.7224428997020853,970.0,20.17890576242979,61.96013289036545,Strong,Very High,Positive,True,76.03
ADANIENSOL,Adani Energy Solutions Ltd,Energy,5.048494983277592,1095.0,19.17352477674663,29.764557114469802,Strong,Very High,Positive,True,75.88
ICICIBANK,ICICI Bank Ltd,Financials,3.4132071786636575,12547.0,12.602450783447166,90.7350986734873,Strong,Very High,Positive,True,74.89
DLF,DLF Ltd,Real Estate,0.9320851688693098,1010.0,47.55178907721281,23.79025984129454,Healthy,Very High,Positive,True,72.13
HAL,Hindustan Aeronautics Ltd,Industrials,1.0830809743252139,1814.0,18.607036619140423,21.105296073203647,Healthy,Very High,Positive,True,67.79
JSWSTEEL,JSW Steel Ltd,Materials,1.3460381143430291,-2389.0,-8.48456866853713,8.266573717472543,Strong,Moderate,Negative,True,64.98
TITAN,Titan Company Ltd,Consumer Discretionary,0.4848398169336384,1506.0,28.458049886621318,0.36997885835095135,Poor,Low,Positive,True,61.27
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,6.81130876747141,-2893.0,-2.865746748422502,13.41518692970182,Strong,High,Negative,True,60.57
COALINDIA,Coal India Ltd,Materials,0.48443897348069254,13617.0,14.432126505002543,3.151963126387679,Poor,Low,Positive,True,59.16
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,0.26354378818737273,1469.0,94.0460947503201,27.73207990599295,Poor,Very High,Positive,True,59.11
HDFCBANK,HDFC Bank Ltd,Financials,0.2913699844146319,35669.0,20.47635996234127,5.852303374945795,Poor,Moderate,Positive,True,56.32
LODHA,Macrotech Developers Ltd,Real Estate,1.6164736164736164,-435.0,-16.322701688555348,28.567274137262505,Strong,Very High,Negative,True,55.55
JSWENERGY,JSW Energy Ltd,Energy,3.6139130434782607,-1963.0,-36.473429951690825,71.36514017064252,Strong,Very High,Negative,True,52.53
SBIN,State Bank of India,Financials,0.31105934457817463,18156.0,-30.110950793571817,0.791458802474561,Poor,Low,Positive,True,52.48
ADANIENT,Adani Enterprises Ltd,Industrials,3.0920539730134933,-8455.0,-74.31660367407929,19.463602327293845,Strong,High,Negative,True,49.85
JINDALSTEL,Jindal Steel & Power Ltd,Materials,1.010937237085647,-2336.0,-22.897471084101156,16.570679588513325,Healthy,High,Negative,True,49.57
NAUKRI,Info Edge (India) Ltd,Communication Services,1.1798319327731093,-150.0,-21.09704641350211,33.59621451104101,Healthy,Very High,Negative,True,46.84
BEL,Bharat Electronics Ltd,Industrials,1.1691342534504392,-1265.0,-25.044545634527815,29.228340240773633,Healthy,Very High,Negative,True,46.24
