cluster,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,debt_to_equity,interest_coverage,cfo_pat_ratio,fcf_conversion_pct,capex_intensity_pct,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct
0,22.99,61.48,16.48,5.26,8.12,1.48,0.24,-59.69,32.79,30.09,5.29,22.73,2.34
1,13.54,18.67,211.65,182.61,0.36,81.23,1.28,40.17,7.35,45.6,7.09,23.12,2.3
2,12.05,82.06,128.82,874.56,0.1,81.64,2.17,9.27,9.33,51.83,10.19,26.94,2.83
3,8.66,28.13,16.14,72.88,2.65,230.96,-4.91,-187.52,9.05,38.48,7.72,23.3,1.98
4,51.02,43.43,10.01,10.09,0.93,287.44,3.27,-43.81,35.37,49.99,8.69,26.86,2.19
