cluster,archetype,company_count,company_percentage,dominant_sector,key_characteristics,profitability_summary,capital_efficiency_summary,leverage_summary,cash_flow_summary,valuation_summary
0,High-Leverage / Cash-Flow Stressed,52,56.52,Energy (19.2%),higher interest coverage (median 24.47 vs universe 11.36) | higher FCF conversion (median 34.26 vs universe 19.17) | lower debt-to-equity (median 0.14 vs universe 0.44) | lower operating margin (median 19.09 vs universe 25.83) | higher ROE (median 19.05 vs universe 16.27),Net margin 12.48% and operating margin 19.09% vs universe medians 14.12%/25.83%.,(use medians due to extreme outliers).,Debt-to-equity 0.14 and interest coverage 24.47x vs universe medians 0.44 and 11.36x.,CFO/PAT 1.22 and FCF conversion 34.26% vs universe medians 1.10 and 19.17%. Capex intensity 6.91% vs universe median 7.95%.,"P/E 51.45, P/B 7.29, EV/EBITDA 24.80 vs universe medians 46.18, 7.54, 24.67."
1,Low-Leverage / Cash-Generative Compounders,9,9.78,Financials (88.9%),lower FCF conversion (median -194.77 vs universe 19.17) | higher debt-to-equity (median 4.79 vs universe 0.44) | lower CFO/PAT (median -4.08 vs universe 1.10) | lower interest coverage (median 2.20 vs universe 11.36) | lower capex intensity (median 3.73 vs universe 7.95),Net margin 19.56% and operating margin 29.29% vs universe medians 14.12%/25.83%.,(use medians due to extreme outliers).,Debt-to-equity 4.79 and interest coverage 2.20x vs universe medians 0.44 and 11.36x.,CFO/PAT -4.08 and FCF conversion -194.77% vs universe medians 1.10 and 19.17%. Capex intensity 3.73% vs universe median 7.95%.,"P/E 31.49, P/B 6.08, EV/EBITDA 23.64 vs universe medians 46.18, 7.54, 24.67."
2,Capital-Efficient Premium Compounders,17,18.48,Financials (23.5%),higher capex intensity (median 23.79 vs universe 7.95) | higher operating margin (median 76.30 vs universe 25.83) | higher interest coverage (median 28.97 vs universe 11.36) | lower debt-to-equity (median 0.06 vs universe 0.44) | higher dividend yield (median 3.09 vs universe 2.18),Net margin 16.61% and operating margin 76.30% vs universe medians 14.12%/25.83%.,(use medians due to extreme outliers).,Debt-to-equity 0.06 and interest coverage 28.97x vs universe medians 0.44 and 11.36x.,CFO/PAT 1.50 and FCF conversion 17.93% vs universe medians 1.10 and 19.17%. Capex intensity 23.79% vs universe median 7.95%.,"P/E 49.00, P/B 9.38, EV/EBITDA 27.47 vs universe medians 46.18, 7.54, 24.67."
3,Leverage-Heavy / Weak Cash Conversion,6,6.52,Industrials (33.3%),lower CFO/PAT (median -3.91 vs universe 1.10) | lower FCF conversion (median -45.67 vs universe 19.17) | lower net profit margin (median 1.06 vs universe 14.12) | lower interest coverage (median 2.71 vs universe 11.36) | lower ROE (median 4.44 vs universe 16.27),Net margin 1.06% and operating margin 19.33% vs universe medians 14.12%/25.83%.,(use medians due to extreme outliers).,Debt-to-equity 0.65 and interest coverage 2.71x vs universe medians 0.44 and 11.36x.,CFO/PAT -3.91 and FCF conversion -45.67% vs universe medians 1.10 and 19.17%. Capex intensity 7.22% vs universe median 7.95%.,"P/E 31.70, P/B 8.65, EV/EBITDA 23.06 vs universe medians 46.18, 7.54, 24.67."
4,Capital-Intensive Profit Reinvestment,8,8.7,Financials (87.5%),higher debt-to-equity (median 7.53 vs universe 0.44) | higher operating margin (median 61.91 vs universe 25.83) | lower interest coverage (median 1.51 vs universe 11.36) | higher net profit margin (median 22.90 vs universe 14.12) | lower P/B (median 4.53 vs universe 7.54),Net margin 22.90% and operating margin 61.91% vs universe medians 14.12%/25.83%.,(use medians due to extreme outliers).,Debt-to-equity 7.53 and interest coverage 1.51x vs universe medians 0.44 and 11.36x.,CFO/PAT 0.92 and FCF conversion 13.49% vs universe medians 1.10 and 19.17%. Capex intensity 7.04% vs universe median 7.95%.,"P/E 34.82, P/B 4.53, EV/EBITDA 22.16 vs universe medians 46.18, 7.54, 24.67."
