cfo_quality,company_count,average_cfo_pat_ratio,median_cfo_pat_ratio,average_fcf_conversion_pct,average_cash_flow_score,percentage_of_companies
Healthy,22,1.0090235203365991,1.0025885185551922,27.927749456180774,73.00727272727273,23.91
Negative,18,-3.866359992786739,-3.6933004217487264,-164.7505833566047,19.371111111111112,19.57
Poor,5,0.367050381518902,0.31105934457817463,25.46033606214268,57.66799999999999,5.43
Strong,41,2.6955176440534756,1.8531589338598222,2.374654221332576,79.49707317073171,44.57
Weak,6,0.669728510916407,0.6593657283823844,50.12798932869071,75.26833333333333,6.52
